"pathway","cell_type","outdegree","indegree","flowbet","info"
"MHC-I","B cells",0.00903009862816362,0,0,0
"MHC-I","Basal epithelial",0.00590300703845452,0,0,0
"MHC-I","CD4 T cells (Th)",0.0448739956653656,0,0,0
"MHC-I","CD8 T cells (CTL)",0.0755154761456745,0.244056115915323,0.091954679217322,0.131618227121135
"MHC-I","Endothelial cells",0.0264718297454534,0,0,0.106655770724337
"MHC-I","Epithelial cells",0.011341198378326,0,0,0.0864931025641381
"MHC-I","Fibroblasts",0.00306513395363893,0,0,0.0456505253939469
"MHC-I","Mast cells",0.00439276364384979,0,0,0.0569878304145532
"MHC-I","Monocytes",0.00757022224810567,0,0,0.0731663515935328
"MHC-I","Myeloid (Mac/DC)",0.02344007480589,0,0,0.104177454458377
"MHC-I","NK cells",0.0146301302568067,0.00501469261594021,0.0140475206321534,0.0950422097961711
"MHC-I","PDC/Plasma cells",0.000505742621281651,0,0,0.0165387360978786
"MHC-I","Pericytes",0.0139059725206706,0,0,0.0919767357309358
"MHC-I","TNK cells",0.0186253650980446,0.0214812157241697,0.0176995310683636,0.103159534701409
"MHC-I","Tregs",0.0112810135057072,0,0,0.0885335214035862
"CLEC","B cells",0.00103120074903714,0,0,0
"CLEC","Basal epithelial",5.79502190752832e-05,0,0,0
"CLEC","CD4 T cells (Th)",0.00857141851598623,0.0198788094537801,0.0144526523620494,0.151284225456446
"CLEC","CD8 T cells (CTL)",0.020519414092914,0.0134555781883011,0.0136174485966127,0.152199305107663
"CLEC","Endothelial cells",0.000650318337475908,0,0,0.0703781373319168
"CLEC","Epithelial cells",0,0,0,0
"CLEC","Fibroblasts",7.56912980955261e-05,0,0,0.0190335741730024
"CLEC","Mast cells",0.00152799591069317,0,0,0.10126744991337
"CLEC","Monocytes",0.000183121261301909,0,0,0.0325031760444794
"CLEC","Myeloid (Mac/DC)",0.00158111339007247,0,0,0.0990276743285154
"CLEC","NK cells",0.00294121656244918,0.00867202143642889,0.00748781234511107,0.133668354937971
"CLEC","PDC/Plasma cells",0,0,0,0
"CLEC","Pericytes",0,0,0,0
"CLEC","TNK cells",0.00421268500711582,0,0,0.132917072142626
"CLEC","Tregs",0.00146663076425392,0.000812347029960388,0.00167099819886658,0.10772103056401
"MIF","B cells",0,0.00300519539211512,0,0.086579760292568
"MIF","Basal epithelial",0.00271880095474034,0.000524194374681763,0.00373631282676412,0.0667096329631544
"MIF","CD4 T cells (Th)",0.0021449836157103,0.00215956017679248,0.00632266771421668,0.0809670867563265
"MIF","CD8 T cells (CTL)",0.00358841403147451,0.0030500698501694,0.00990713137774256,0.0841840876730536
"MIF","Endothelial cells",0.00123654381225746,0.000682822055146019,0.00268375675619756,0.0670279152477579
"MIF","Epithelial cells",0.0073153281417224,0.000574495857836532,0.00222879679820608,0.0861929846526508
"MIF","Fibroblasts",0.00108310617859959,0.000196119062524108,0.00167906800775367,0.0630426427730486
"MIF","Mast cells",0.000373038832567511,0,0,0.0175157301274283
"MIF","Monocytes",0.000261977768582353,0.00222032145725238,0.00260103526544983,0.0647189601926344
"MIF","Myeloid (Mac/DC)",0.000527773290565521,0.00710750752235595,0.00377058580181394,0.0824381899341403
"MIF","NK cells",0.00062217325209606,0.000811330411331771,0.00200331350341848,0.0644940356445667
"MIF","PDC/Plasma cells",3.16290030743015e-05,0.000147119598508266,0.000296045419478351,0.0153457694309826
"MIF","Pericytes",0.00443721602024961,7.54332194729498e-05,0.000868441827256362,0.087497708815565
"MIF","TNK cells",0.000953879818506811,0.00382248086553395,0.00678225591244923,0.0714912606663521
"MIF","Tregs",0.000597423214703367,0.00151563809112945,0.00431409820513271,0.0617942348297708
"CD99","B cells",0,0,0,0
"CD99","Basal epithelial",3.5895196949136e-05,0,0,0
"CD99","CD4 T cells (Th)",0.00388714062822309,0.00369525278973494,0.0112111728745597,0.112496665289024
"CD99","CD8 T cells (CTL)",0.0093647887594503,0.00898555365821961,0.0225596628627642,0.119305851830818
"CD99","Endothelial cells",0.00376093532629831,0.00362054916252723,0.0123307880177565,0.113181817571939
"CD99","Epithelial cells",0.000821571560648954,0.000731059177984198,0.00551443946064149,0.0888963387331442
"CD99","Fibroblasts",0.000838997693774427,0.000807391057334264,0.00331251137429859,0.0923118419214616
"CD99","Mast cells",1.38854269845775e-05,0,0,0
"CD99","Monocytes",1.117712452422e-05,0.000348238043852575,8.21080755944863e-05,0.0379342858145985
"CD99","Myeloid (Mac/DC)",3.72738189670685e-05,0.000868995491705745,0.000119183770573922,0.0632667599091031
"CD99","NK cells",0.00200463618054055,0.00192974585856199,0.0072940434636651,0.107630888400656
"CD99","PDC/Plasma cells",7.02743383607552e-05,6.67885230396345e-05,0.000274317906178153,0.0293793674604874
"CD99","Pericytes",0.00234120570815873,0.00224664396404768,0.00619458028172842,0.10960578097609
"CD99","TNK cells",0.00251104612142476,0.00241732137380264,0.00893083028402407,0.110144764015452
"CD99","Tregs",1.87112165056238e-05,0,0,0.0158456380772251
"APP","B cells",0,0.00107082512494602,0,0.10572081916845
"APP","Basal epithelial",0.000868639182416114,0.000493514891695108,0.00206432451085605,0.0883685578876008
"APP","CD4 T cells (Th)",0,0.000558310035584384,0,0.0851786736941497
"APP","CD8 T cells (CTL)",0,0.000904408981734727,0,0.0991711237440421
"APP","Endothelial cells",0.00662168537779203,0.00220889948544548,0.00915280350462809,0.12931379550793
"APP","Epithelial cells",0.00160405423118719,0.000809046224969684,0.00314903893123691,0.104670315047154
