"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","condition"
"Mast cells","B cells","MIF","CD74_CXCR4",0.000131687745095683,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Monocytes","B cells","MIF","CD74_CXCR4",5.51839710407858e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Myeloid (Mac/DC)","B cells","MIF","CD74_CXCR4",0.000217212668560297,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"NK cells","B cells","MIF","CD74_CXCR4",0.000134023344868849,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"PDC/Plasma cells","B cells","MIF","CD74_CXCR4",4.62276522273326e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Pericytes","B cells","MIF","CD74_CXCR4",0.000450831108489838,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"TNK cells","B cells","MIF","CD74_CXCR4",0.000220870367158817,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Tregs","B cells","MIF","CD74_CXCR4",0.000264831456519679,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Basal epithelial","CD4 T cells (Th)","MIF","CD74_CXCR4",0.000273413041198648,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Endothelial cells","CD4 T cells (Th)","MIF","CD74_CXCR4",0.000724941402018468,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Epithelial cells","CD4 T cells (Th)","MIF","CD74_CXCR4",0.000603091988791665,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Fibroblasts","CD4 T cells (Th)","MIF","CD74_CXCR4",0.000385660463953935,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"NK cells","CD4 T cells (Th)","MIF","CD74_CXCR4",0.000264738681530078,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"PDC/Plasma cells","CD4 T cells (Th)","MIF","CD74_CXCR4",9.44420574216431e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Pericytes","CD4 T cells (Th)","MIF","CD74_CXCR4",0.000935424841969353,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Basal epithelial","CD8 T cells (CTL)","MIF","CD74_CXCR4",0.000176082928090659,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Endothelial cells","CD8 T cells (CTL)","MIF","CD74_CXCR4",0.000464713141794717,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Epithelial cells","CD8 T cells (CTL)","MIF","CD74_CXCR4",0.000388960175556162,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Fibroblasts","CD8 T cells (CTL)","MIF","CD74_CXCR4",0.000249578654524542,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"PDC/Plasma cells","CD8 T cells (CTL)","MIF","CD74_CXCR4",6.06011726772025e-05,0.03,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
