"pathway","cell_type","outdegree","indegree","flowbet","info"
"CypA","Basal epithelial",0.000251298882256354,0.000140293838119205,0.00311771986312322,0.0518206560950319
"CypA","CD4 T cells (Th)",0.00113364357814425,0,0,0
"CypA","CD8 T cells (CTL)",0.00137358008430928,0,0,0
"CypA","Endothelial cells",0.000697909347194153,0.00113710690852187,0.00548620958035153,0.113689790055536
"CypA","Epithelial cells",0.000306681753176849,0.000379350341059872,0.00198398386425822,0.087703146020749
"CypA","Fibroblasts",0.000216097698237919,0.00148230726708724,0.00280745183760151,0.10946461905886
"CypA","Mast cells",0.000426982659078518,0.000232131401805969,0.00192466429377729,0.0861761682869891
"CypA","Monocytes",0.000215983015910627,0,0,0.0465576406485242
"CypA","Myeloid (Mac/DC)",0.00105303263199507,2.88922959641747e-05,0.00137693823566656,0.096153530299216
"CypA","NK cells",0.000296096209300018,0.000490883080643242,0.00189805144914077,0.0810345367326008
"CypA","PDC/Plasma cells",7.83650519677054e-05,0,0,0.0231792651272731
"CypA","Pericytes",0.000680648343747872,0.00391866776444005,0.00879216859204111,0.117362043132462
"CypA","TNK cells",0.000442179172778425,0,0,0.0930455896342777
"CypA","Tregs",0.000471960674101492,0.000428942078150147,0.00194378772191205,0.0938130149084804
"Prostaglandin","B cells",0.000402228598642521,0,0,0
"Prostaglandin","Basal epithelial",0.000120411590343756,0,0,0
"Prostaglandin","CD4 T cells (Th)",0.00186851497982691,0.00370923842926082,0.00185591565271869,0.123528329238261
"Prostaglandin","CD8 T cells (CTL)",0.00195123745241033,0.00393623286753665,0.00196980321184155,0.123964448778025
"Prostaglandin","Endothelial cells",0.000336968425560621,0,0,0.0800843150218498
"Prostaglandin","Epithelial cells",0.000217292015730789,0,0,0.066937360376808
"Prostaglandin","Fibroblasts",0.000176319293190953,0,0,0.0605571723105146
"Prostaglandin","Mast cells",0.000292416601794926,0,0,0.0759246862177891
"Prostaglandin","Monocytes",5.65131164255223e-05,0,0,0.0307324112639072
"Prostaglandin","Myeloid (Mac/DC)",0.000505303003564115,0,0,0.0911087440267964
"Prostaglandin","NK cells",0.000116005351907929,0,0,0.0482449151324153
"Prostaglandin","PDC/Plasma cells",4.32238891156043e-05,0,0,0.0257852041667406
"Prostaglandin","Pericytes",0.000385725477923651,0,0,0.0839209458107247
"Prostaglandin","TNK cells",0.00053136533912187,0,0,0.0923665669905734
"Prostaglandin","Tregs",0.000641946161237977,0,0,0.0968449006655955
"APP","B cells",0,0.00105133538650699,0,0.10522754259559
"APP","Basal epithelial",0.000369030821679828,2.89165685682051e-05,0.000311719004427666,0.0543721767973295
"APP","CD4 T cells (Th)",0,0.00110103955078364,0,0.104708057690278
"APP","CD8 T cells (CTL)",0,0.000462290305851881,0,0.0942997987664484
"APP","Endothelial cells",0.00440309796505557,0.000726333503920242,0.003344772674767,0.111047706621531
"APP","Epithelial cells",0.000739142370725736,0.000173749443791731,0.00113734894490319,0.0925581235616914
"APP","Fibroblasts",0.000416014451557098,9.25074487443438e-05,0.000658093940544604,0.0806460748384566
"APP","Mast cells",0,7.01085768592638e-05,0,0.0162082383538425
"APP","Monocytes",0,0.000299554701595352,0,0.0449321006525826
"APP","Myeloid (Mac/DC)",0,0.00188083669188157,0,0.0881067948769863
"APP","NK cells",0,0.000202618484918975,0,0.0344428942318474
"APP","PDC/Plasma cells",0.000125319310751241,9.66659636326619e-05,0.000503332131141861,0.067000488813075
"APP","Pericytes",0.00126772121119495,7.02317506691583e-05,0.000686806433747352,0.106450002200341
"APP","TNK cells",0,0.000563124044851746,0,0
"APP","Tregs",0,0.000501013708388658,0,0
"MHC-II","B cells",0.000746701778814985,0,0,0
"MHC-II","Basal epithelial",2.78475500838324e-06,0,0,0
"MHC-II","CD4 T cells (Th)",0,0,0,0
"MHC-II","CD8 T cells (CTL)",5.12050602341388e-05,0,0,0
"MHC-II","Endothelial cells",0.000279809995942987,0,0,0
"MHC-II","Epithelial cells",2.15431080006514e-05,0,0,0
"MHC-II","Fibroblasts",1.77179463376924e-05,0,0,0
"MHC-II","Mast cells",0,0,0,0
"MHC-II","Monocytes",0.000187540548589089,0,0,0
"MHC-II","Myeloid (Mac/DC)",0.00143332306335619,0.00266042893073477,0.000643409396451425,0.46414237545583
"MHC-II","NK cells",6.16608465979988e-06,0,0,0.0592283852969635
"MHC-II","PDC/Plasma cells",4.03816505974847e-05,0.000282871716721771,0.000106165560880993,0.140449038402578
"MHC-II","Pericytes",0,0,0,0
"MHC-II","TNK cells",0.00010537081655828,0,0,0.204163084110844
"MHC-II","Tregs",5.07558393568614e-05,0,0,0.132017116733785
"MK","B cells",0,0.000119870354661201,0,0.0910113852568718
"MK","Basal epithelial",0.000319819984850598,0.000127418964890307,0.000889635289921467,0.093779326758858
